"Date","Close Price"
2012-11-29,"       2445.25"
2012-11-30,"       2436.85"
2012-12-03,"       2439.15"
2012-12-04,"       2437.45"
2012-12-05,"       2382.50"
2012-12-06,"       2338.30"
2012-12-07,"       2321.15"
2012-12-10,"       2313.55"
2012-12-11,"       2294.05"
2012-12-12,"       2297.80"
2012-12-13,"       2283.55"
2012-12-14,"       2278.80"
2012-12-17,"       2266.25"
2012-12-18,"       2271.00"
2012-12-19,"       2296.15"
2012-12-20,"       2299.60"
2012-12-21,"       2296.85"
2012-12-24,"       2322.30"
2012-12-26,"       2315.25"
2012-12-27,"       2287.75"
2012-12-28,"       2323.20"
2012-12-31,"       2318.70"
2013-01-01,"       2308.85"
2013-01-02,"       2309.20"
2013-01-03,"       2337.90"
2013-01-04,"       2349.55"
2013-01-07,"       2374.80"
2013-01-08,"       2344.00"
2013-01-09,"       2331.00"
2013-01-10,"       2322.30"
2013-01-11,"       2712.10"
2013-01-14,"       2806.50"
2013-01-15,"       2787.05"
2013-01-16,"       2767.45"
2013-01-17,"       2797.95"
2013-01-18,"       2788.05"
2013-01-21,"       2796.30"
2013-01-22,"       2783.55"
2013-01-23,"       2789.60"
2013-01-24,"       2798.20"
2013-01-25,"       2814.65"
2013-01-28,"       2810.65"
2013-01-29,"       2799.00"
2013-01-30,"       2790.65"
2013-01-31,"       2789.50"
2013-02-01,"       2770.95"
2013-02-04,"       2767.60"
2013-02-05,"       2755.90"
2013-02-06,"       2776.00"
2013-02-07,"       2789.50"
2013-02-08,"       2789.45"
2013-02-11,"       2792.05"
2013-02-12,"       2755.25"
2013-02-13,"       2789.55"
2013-02-14,"       2812.75"
2013-02-15,"       2788.60"
2013-02-18,"       2780.10"
2013-02-19,"       2820.45"
2013-02-20,"       2819.45"
2013-02-21,"       2807.80"
2013-02-22,"       2840.55"
2013-02-25,"       2917.80"
2013-02-26,"       2959.80"
2013-02-27,"       2910.55"
2013-02-28,"       2907.00"
2013-03-01,"       2913.80"
2013-03-04,"       2903.45"
